log_ret,date,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T89,T90,T91,T92,T93,T94,T95,T96,T97,T98,T99,sentiment_LM,Component1,Component2,Component3,Component4,Component5,Component6,Component7,Component8,Component9,Component10,Component11,Component12,Component13,Component14,Component15,Component16,Component17,Component18,Component19,Component20,Component1LM,Component2LM,Component3LM,Component4LM,Component5LM,Component6LM,Component7LM,Component8LM,Component9LM,Component10LM
0.024653348,13/01/2016,0.00375817,0.003431373,0.004656863,0.003349673,0.003349673,0.003513072,0.003267974,0.003431373,0.004330065,0.003513072,0.004248366,0.003267974,0.003267974,0.003431373,0.003267974,0.004493464,0.003431373,0.003349673,0.003349673,0.003676471,0.004084967,0.004248366,0.003431373,0.003349673,0.003349673,0.003349673,0.003431373,0.003594771,0.013235294,0.003267974,0.00375817,0.003349673,0.00375817,0.004820261,0.003431373,0.003676471,0.003839869,0.004656863,0.003594771,0.303921569,0.005392157,0.005310458,0.003431373,0.003431373,0.003349673,0.003513072,0.003676471,0.003839869,0.003267974,0.003676471,0.003349673,0.00375817,0.003921569,0.003921569,0.006699346,0.003676471,0.004575163,0.003267974,0.003676471,0.288562092,0.003921569,0.003594771,0.034150327,0.003839869,0.003267974,0.003431373,0.003349673,0.004656863,0.004575163,0.005637255,0.004330065,0.003349673,0.003349673,0.003431373,0.003594771,0.003267974,0.003594771,0.003349673,0.004330065,0.003431373,0.003676471,0.004493464,0.004084967,0.003513072,0.003921569,0.003594771,0.004084967,0.003267974,0.003267974,0.003431373,0.003349673,0.003267974,0.003349673,0.003349673,0.004003268,0.00375817,0.003594771,0.003267974,0.004166667,0.003267974,0.003378378,1.98072138,-0.105661181,-1.183442352,0.779580565,0.032261165,3.496401666,-2.428761161,1.289948592,0.065351881,-1.228613807,2.005139252,0.583083844,1.120220461,1.844370512,0.473706753,1.026841599,-1.207188439,0.028854373,0.173793212,0.957467803,1.655934938,-0.046663349,-0.124881153,-0.135105721,0.274080089,-0.141663248,-0.624062156,0.019274966,-0.334163937,0.067718641
-0.032606451,14/01/2016,0.00375817,0.003431373,0.004656863,0.003349673,0.003349673,0.003513072,0.003267974,0.003431373,0.004330065,0.003513072,0.004248366,0.003267974,0.003267974,0.003431373,0.003267974,0.004493464,0.003431373,0.003349673,0.003349673,0.003676471,0.004084967,0.004248366,0.003431373,0.003349673,0.003349673,0.003349673,0.003431373,0.003594771,0.013235294,0.003267974,0.00375817,0.003349673,0.00375817,0.004820261,0.003431373,0.003676471,0.003839869,0.004656863,0.003594771,0.303921569,0.005392157,0.005310458,0.003431373,0.003431373,0.003349673,0.003513072,0.003676471,0.003839869,0.003267974,0.003676471,0.003349673,0.00375817,0.003921569,0.003921569,0.006699346,0.003676471,0.004575163,0.003267974,0.003676471,0.288562092,0.003921569,0.003594771,0.034150327,0.003839869,0.003267974,0.003431373,0.003349673,0.004656863,0.004575163,0.005637255,0.004330065,0.003349673,0.003349673,0.003431373,0.003594771,0.003267974,0.003594771,0.003349673,0.004330065,0.003431373,0.003676471,0.004493464,0.004084967,0.003513072,0.003921569,0.003594771,0.004084967,0.003267974,0.003267974,0.003431373,0.003349673,0.003267974,0.003349673,0.003349673,0.004003268,0.00375817,0.003594771,0.003267974,0.004166667,0.003267974,0.003378378,1.98072138,-0.105661181,-1.183442352,0.779580565,0.032261165,3.496401666,-2.428761161,1.289948592,0.065351881,-1.228613807,2.005139252,0.583083844,1.120220461,1.844370512,0.473706753,1.026841599,-1.207188439,0.028854373,0.173793212,0.957467803,1.655934938,-0.046663349,-0.124881153,-0.135105721,0.274080089,-0.141663248,-0.624062156,0.019274966,-0.334163937,0.067718641
0.004484492,15/01/2016,0.00375817,0.003431373,0.004656863,0.003349673,0.003349673,0.003513072,0.003267974,0.003431373,0.004330065,0.003513072,0.004248366,0.003267974,0.003267974,0.003431373,0.003267974,0.004493464,0.003431373,0.003349673,0.003349673,0.003676471,0.004084967,0.004248366,0.003431373,0.003349673,0.003349673,0.003349673,0.003431373,0.003594771,0.013235294,0.003267974,0.00375817,0.003349673,0.00375817,0.004820261,0.003431373,0.003676471,0.003839869,0.004656863,0.003594771,0.303921569,0.005392157,0.005310458,0.003431373,0.003431373,0.003349673,0.003513072,0.003676471,0.003839869,0.003267974,0.003676471,0.003349673,0.00375817,0.003921569,0.003921569,0.006699346,0.003676471,0.004575163,0.003267974,0.003676471,0.288562092,0.003921569,0.003594771,0.034150327,0.003839869,0.003267974,0.003431373,0.003349673,0.004656863,0.004575163,0.005637255,0.004330065,0.003349673,0.003349673,0.003431373,0.003594771,0.003267974,0.003594771,0.003349673,0.004330065,0.003431373,0.003676471,0.004493464,0.004084967,0.003513072,0.003921569,0.003594771,0.004084967,0.003267974,0.003267974,0.003431373,0.003349673,0.003267974,0.003349673,0.003349673,0.004003268,0.00375817,0.003594771,0.003267974,0.004166667,0.003267974,0.003378378,1.98072138,-0.105661181,-1.183442352,0.779580565,0.032261165,3.496401666,-2.428761161,1.289948592,0.065351881,-1.228613807,2.005139252,0.583083844,1.120220461,1.844370512,0.473706753,1.026841599,-1.207188439,0.028854373,0.173793212,0.957467803,1.655934938,-0.046663349,-0.124881153,-0.135105721,0.274080089,-0.141663248,-0.624062156,0.019274966,-0.334163937,0.067718641
-0.028254804,18/01/2016,0.005,0.002941176,0.007941176,0.00375,0.004411765,0.003529412,0.006176471,0.035735294,0.003676471,0.003308824,0.024779412,0.006544118,0.0075,0.009411765,0.008602941,0.003529412,0.052205882,0.003676471,0.003602941,0.021911765,0.004338235,0.004044118,0.004705882,0.002941176,0.003382353,0.003970588,0.005955882,0.03125,0.007720588,0.003970588,0.004632353,0.003823529,0.003676471,0.00375,0.004852941,0.003823529,0.006397059,0.00625,0.003823529,0.005808824,0.064411765,0.003014706,0.006397059,0.019264706,0.022352941,0.003088235,0.004558824,0.003161765,0.010882353,0.003529412,0.016323529,0.004264706,0.006911765,0.004264706,0.003529412,0.016544118,0.003529412,0.003676471,0.004338235,0.00625,0.015147059,0.003455882,0.003014706,0.05375,0.003382353,0.152132353,0.005661765,0.006838235,0.003602941,0.006838235,0.004044118,0.020882353,0.004558824,0.005514706,0.005147059,0.003235294,0.003161765,0.004779412,0.009632353,0.024926471,0.005735294,0.004117647,0.004117647,0.005147059,0.003529412,0.003676471,0.004485294,0.009338235,0.003014706,0.003308824,0.003602941,0.016544118,0.005588235,0.003676471,0.003235294,0.003088235,0.005661765,0.003602941,0.013602941,0.007573529,0.006186552,-3.872808637,3.832051136,1.664931023,-1.598912477,-3.056288686,1.755594872,-0.805672255,1.355556119,-0.870087467,1.358458939,-0.316200115,-1.230370944,1.320950043,-1.228640801,0.201703397,2.306212072,0.969565315,-0.719178009,0.302067133,-1.748127363,4.495355299,-0.561856131,-2.4499869,1.702965917,0.02767952,-0.43880694,-0.058330758,-0.982587257,-0.005311776,-0.172842503
0.047631985,19/01/2016,0.001509434,0.001415094,0.038561321,0.001415094,0.005495283,0.001367925,0.010424528,0.009622642,0.001768868,0.00125,0.027783019,0.002735849,0.023561321,0.005235849,0.007264151,0.004787736,0.039787736,0.001509434,0.012264151,0.004080189,0.011509434,0.002900943,0.005283019,0.001179245,0.001132075,0.001957547,0.001981132,0.001108491,0.004221698,0.001273585,0.002924528,0.003891509,0.006792453,0.004646226,0.023466981,0.019339623,0.003891509,0.002311321,0.001509434,0.005825472,0.112570755,0.001485849,0.121108491,0.002169811,0.001509434,0.006745283,0.015943396,0.001509434,0.006768868,0.014245283,0.014009434,0.001603774,0.001603774,0.002523585,0.054009434,0.003396226,0.001084906,0.001415094,0.001674528,0.001698113,0.014080189,0.00129717,0.005825472,0.005778302,0.002169811,0.100589623,0.002075472,0.031933962,0.036674528,0.002759434,0.001415094,0.004528302,0.001556604,0.005377358,0.002169811,0.002122642,0.001061321,0.002382075,0.002688679,0.001556604,0.004787736,0.002641509,0.00245283,0.00129717,0.002075472,0.001485849,0.00134434,0.00120283,0.001179245,0.001179245,0.001556604,0.014481132,0.002146226,0.011533019,0.004103774,0.001462264,0.002900943,0.00134434,0.030566038,0.00615566,-0.002157282,-3.433729772,5.304348249,0.536508941,-3.580661212,-3.900046366,1.723080232,-1.004562828,4.175550886,-1.683761872,3.883557112,-1.245439848,0.874356073,0.620892327,-0.443523119,0.501291866,-0.662405901,-0.396121883,-0.437858821,0.408853827,-2.715581141,-0.463014841,-0.250751403,0.706713721,-0.909962253,0.126646091,0.169796054,-0.337590691,0.198621961,0.040772194,-0.353483792
-0.032062895,20/01/2016,0.000650826,0.004524793,0.025578512,0.004876033,0.003636364,0.000795455,0.008966942,0.071621901,0.00106405,0.001993802,0.033801653,0.001084711,0.016157025,0.019411157,0.005154959,0.00821281,0.04803719,0.005227273,0.011177686,0.011859504,0.014070248,0.001311983,0.000599174,0.006188017,0.00106405,0.000774793,0.005051653,0.001983471,0.029328512,0.001043388,0.01625,0.002210744,0.012396694,0.001022727,0.001146694,0.005216942,0.004090909,0.006497934,0.002809917,0.042923554,0.066353306,0.002035124,0.01,0.007758264,0.003822314,0.010020661,0.006270661,0.002840909,0.001198347,0.000878099,0.004762397,0.002634298,0.001518595,0.001177686,0.041105372,0.005258264,0.000785124,0.001084711,0.001766529,0.011353306,0.016539256,0.003832645,0.015268595,0.018688017,0.010547521,0.053946281,0.004979339,0.017345041,0.014504132,0.003336777,0.002438017,0.00196281,0.000774793,0.001095041,0.003471074,0.003460744,0.00088843,0.000981405,0.002045455,0.013305785,0.008006198,0.001188017,0.002706612,0.014070248,0.001952479,0.006900826,0.002200413,0.001053719,0.001663223,0.00107438,0.008605372,0.021322314,0.002365702,0.033264463,0.030309917,0.001714876,0.000733471,0.000971074,0.043729339,0.004318182,-0.005330509,-1.373695172,5.070319915,0.096013567,-1.474688198,-2.114446046,0.740318946,-0.634567976,1.423428596,-0.332068384,1.580118335,-0.857435334,0.153233651,1.879945138,0.235620154,0.117505609,-0.621505895,0.449934264,-0.49778928,0.5514632,-1.299109492,-1.918678818,-0.832525061,1.578573822,-0.998436946,-0.008183139,0.218649912,0.054952075,0.395799786,-0.02895131,-0.344446778
0.014164477,21/01/2016,0.001385681,0.001443418,0.008920323,0.000635104,0.001395304,0.001963048,0.009016551,0.028079292,0.001366436,0.001780216,0.05680331,0.000721709,0.054994226,0.01291378,0.001722479,0.003185142,0.047815627,0.001183603,0.003031178,0.02441301,0.014934565,0.026250962,0.001212471,0.000721709,0.003714396,0.000615858,0.008429561,0.001607005,0.013818322,0.000866051,0.012856043,0.001270208,0.001953426,0.003021555,0.003185142,0.009488068,0.004994226,0.001895689,0.011710931,0.008622017,0.082313318,0.000875674,0.012115089,0.015492687,0.01267321,0.032274827,0.003714396,0.006562741,0.001481909,0.003098537,0.014347575,0.001029638,0.001125866,0.000615858,0.012124711,0.006033487,0.004416859,0.001818707,0.00082756,0.038135104,0.006351039,0.003752887,0.002338337,0.058487298,0.012220939,0.063173595,0.004436105,0.014934565,0.015752502,0.001356813,0.001837952,0.008448807,0.000606236,0.000606236,0.005379138,0.002299846,0.004715166,0.004657429,0.010989222,0.005311778,0.002790608,0.001674365,0.001857198,0.000923788,0.003637413,0.000904542,0.002444188,0.008294842,0.007053503,0.001058507,0.001626251,0.00721709,0.00210739,0.028367975,0.001193226,0.005687067,0.000904542,0.00051963,0.0433699,0.00569669,0.009215498,-3.392037356,5.707970618,0.778029383,-1.802516387,-1.374230349,1.04218413,-0.875423909,1.578063432,0.011337718,2.387462595,-0.805598154,-0.100169997,1.390907284,-1.655729374,0.658264122,0.871869332,0.072505601,-1.439512232,0.10002231,-0.328972179,6.126325631,0.221194428,-3.921292283,1.91124281,-0.2434938,-0.94341389,-0.548611589,-0.809437336,0.031838559,0.951185016
0.023239218,22/01/2016,0.00632716,0.006635802,0.010648148,0.008024691,0.006481481,0.00632716,0.008333333,0.006944444,0.008950617,0.00617284,0.008333333,0.00632716,0.021141975,0.021450617,0.011882716,0.006944444,0.014351852,0.007561728,0.006944444,0.040895062,0.00617284,0.007253086,0.014969136,0.007407407,0.00617284,0.006790123,0.00787037,0.006944444,0.006944444,0.008796296,0.006790123,0.00632716,0.006944444,0.007098765,0.009104938,0.00941358,0.010030864,0.006944444,0.006481481,0.00617284,0.017901235,0.006481481,0.006635802,0.009876543,0.017746914,0.007561728,0.007098765,0.006944444,0.00632716,0.015432099,0.006635802,0.007561728,0.007098765,0.00617284,0.006481481,0.008641975,0.006635802,0.014197531,0.007716049,0.00617284,0.067592593,0.00617284,0.00617284,0.070061728,0.014969136,0.009259259,0.008333333,0.00632716,0.008487654,0.00617284,0.00632716,0.00632716,0.006481481,0.00632716,0.006481481,0.00617284,0.00617284,0.009259259,0.006790123,0.017592593,0.010493827,0.00787037,0.006481481,0.015277778,0.00617284,0.006790123,0.006481481,0.006944444,0.00632716,0.006481481,0.008641975,0.012808642,0.008333333,0.006635802,0.007098765,0.00632716,0.010339506,0.007253086,0.006635802,0.010493827,0.012820513,-2.745859343,1.235849343,0.384745157,0.194243967,-1.908781552,0.115620258,0.75826355,-0.732366778,-0.926599472,-0.209838627,0.404570558,-0.509391941,0.78212246,-0.759766482,-0.365200983,0.921117541,0.815869513,0.075411177,0.729328524,0.126235863,7.757909499,-1.373544825,-2.541143693,0.774385657,-0.143130488,-0.17034208,-0.111107816,-1.069064873,0.548849719,-0.517450245
0.018760489,25/01/2016,0.00632716,0.006635802,0.010648148,0.008024691,0.006481481,0.00632716,0.008333333,0.006944444,0.008950617,0.00617284,0.008333333,0.00632716,0.021141975,0.021450617,0.011882716,0.006944444,0.014351852,0.007561728,0.006944444,0.040895062,0.00617284,0.007253086,0.014969136,0.007407407,0.00617284,0.006790123,0.00787037,0.006944444,0.006944444,0.008796296,0.006790123,0.00632716,0.006944444,0.007098765,0.009104938,0.00941358,0.010030864,0.006944444,0.006481481,0.00617284,0.017901235,0.006481481,0.006635802,0.009876543,0.017746914,0.007561728,0.007098765,0.006944444,0.00632716,0.015432099,0.006635802,0.007561728,0.007098765,0.00617284,0.006481481,0.008641975,0.006635802,0.014197531,0.007716049,0.00617284,0.067592593,0.00617284,0.00617284,0.070061728,0.014969136,0.009259259,0.008333333,0.00632716,0.008487654,0.00617284,0.00632716,0.00632716,0.006481481,0.00632716,0.006481481,0.00617284,0.00617284,0.009259259,0.006790123,0.017592593,0.010493827,0.00787037,0.006481481,0.015277778,0.00617284,0.006790123,0.006481481,0.006944444,0.00632716,0.006481481,0.008641975,0.012808642,0.008333333,0.006635802,0.007098765,0.00632716,0.010339506,0.007253086,0.006635802,0.010493827,0.012820513,-2.745859343,1.235849343,0.384745157,0.194243967,-1.908781552,0.115620258,0.75826355,-0.732366778,-0.926599472,-0.209838627,0.404570558,-0.509391941,0.78212246,-0.759766482,-0.365200983,0.921117541,0.815869513,0.075411177,0.729328524,0.126235863,7.757909499,-1.373544825,-2.541143693,0.774385657,-0.143130488,-0.17034208,-0.111107816,-1.069064873,0.548849719,-0.517450245
-0.01665798,26/01/2016,0.00632716,0.006635802,0.010648148,0.008024691,0.006481481,0.00632716,0.008333333,0.006944444,0.008950617,0.00617284,0.008333333,0.00632716,0.021141975,0.021450617,0.011882716,0.006944444,0.014351852,0.007561728,0.006944444,0.040895062,0.00617284,0.007253086,0.014969136,0.007407407,0.00617284,0.006790123,0.00787037,0.006944444,0.006944444,0.008796296,0.006790123,0.00632716,0.006944444,0.007098765,0.009104938,0.00941358,0.010030864,0.006944444,0.006481481,0.00617284,0.017901235,0.006481481,0.006635802,0.009876543,0.017746914,0.007561728,0.007098765,0.006944444,0.00632716,0.015432099,0.006635802,0.007561728,0.007098765,0.00617284,0.006481481,0.008641975,0.006635802,0.014197531,0.007716049,0.00617284,0.067592593,0.00617284,0.00617284,0.070061728,0.014969136,0.009259259,0.008333333,0.00632716,0.008487654,0.00617284,0.00632716,0.00632716,0.006481481,0.00632716,0.006481481,0.00617284,0.00617284,0.009259259,0.006790123,0.017592593,0.010493827,0.00787037,0.006481481,0.015277778,0.00617284,0.006790123,0.006481481,0.006944444,0.00632716,0.006481481,0.008641975,0.012808642,0.008333333,0.006635802,0.007098765,0.00632716,0.010339506,0.007253086,0.006635802,0.010493827,0.012820513,-2.745859343,1.235849343,0.384745157,0.194243967,-1.908781552,0.115620258,0.75826355,-0.732366778,-0.926599472,-0.209838627,0.404570558,-0.509391941,0.78212246,-0.759766482,-0.365200983,0.921117541,0.815869513,0.075411177,0.729328524,0.126235863,7.757909499,-1.373544825,-2.541143693,0.774385657,-0.143130488,-0.17034208,-0.111107816,-1.069064873,0.548849719,-0.517450245
