topic0,iceland,licens,arnarlax,icelandic_salmon,capac,samherji,laxar,icelandic_salmon_farm,good,arctic_fish,countri,fjord,ice_fish_farm,subsidiari,fish_farm,potenti,gener,biomass,addit,total,east,allow,coast,alreadi,exist,masov,smolt,within,maximum,creat,aim,jonsson,owner,build,mab,gadu,opportun,next_year,equip,next,value_chain,fiskeldi,appli,isk,arctic,formerli,handl,cooper,davidsson,decemb,explor,combin,primari,output,expans,west,oct,assess,char,fulli,newli,hembr,set,final,begin,arnalax,helgason,jon,util,kjartan,erupt,last_year,annual,bjorn,gave,geotherm,salmon_farming_industri,belgium,westfjord,holder,brim,everyth,belgian,gardar,måsøval,slaughter,station,petursson,approxim,initi,present,barg,winter,approv,mri,olafsson,jen,volcano,divest,arnarfjordur
 ,0.141,0.032,0.024,0.02,0.019,0.017,0.016,0.016,0.015,0.015,0.015,0.014,0.014,0.014,0.013,0.013,0.012,0.012,0.012,0.011,0.01,0.01,0.009,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic1,grieg,grieg_seafood,canada,region,newfoundland,shetland,east,northern,scottish_sea_farm,canadian,coast,bay,finnmark,eastern,impact,rogaland,british_columbia,area,relat,labrador,provinc,kvame,harvest_volum,licens,challeng,atlant,ceo_andreas_kvam,west,cad,biolog,nl,potenti,hatcheri,atlantic_salmon,surviv,skye,annual,placentia,fish_health,expans,orkney,bc,north_america,mowi_canada,approxim,novemb,freshwat,interest,isl,decis,sea_farm,total,furn,resourc,cite,ceas,divest,prior,part,cove,compris,qualiti,gallagh,sever,write,north_american,gold,exclud,seawat,marystown,rest,hjaltland,previous,provinci,mainland,norwegian_salmon_produc,synergi,byrn,licenc,cbc,leroy_seafood_group,downgrad,risley,department_of_fisheri,kristina,scotland,temporarili,manner,winter,disclos,organiz,tangvik,marin,post,ulcer,restructur,brunswick,forestri,andrea,postpon
 ,0.104,0.072,0.06,0.039,0.038,0.026,0.022,0.019,0.019,0.018,0.015,0.014,0.013,0.012,0.012,0.012,0.011,0.01,0.01,0.01,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001
topic2,world,largest,billion,global,among,top,countri,across,sector,biggest,place,rank,execut,though,signific,salari,seafood_compani,highest,giant,power,salmon_produc,lead,highlight,massiv,alon,histori,winner,major,benefit,pay,worldwid,near,salmon_farming_industri,africa,index,globe,becam,firm,held,whose,fairr,incom,particular,pocket,behind,run,valuabl,home,necessarili,seafood_sector,paid,loser,span,particularli,fourth,past,tabl,apart,elsewher,bonus,score,rang,privat,network,exclus,firmli,notabl,modest,perhap,came,decad,boast,increasingli,influenti,rival,almost,remuner,aquaculture_sector,singl,annual,flag,seventh,saw,medium,hand,despit,bonu,combin,rest,sever,away,publicli,resourc,coller,fifth,far,best,seafood_industri,addit,egypt
 ,0.124,0.098,0.047,0.04,0.037,0.034,0.033,0.025,0.021,0.018,0.016,0.016,0.015,0.014,0.014,0.013,0.013,0.011,0.011,0.01,0.01,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic3,aquabounti,gm,commerci,fda,approv,genet,facil,modifi,stock,aquadvantag,indiana,salmon_produc,site,rais,loss,wulf,sell,purchas,egg,announc,engin,canada,food,begin,grow,receiv,use,complet,technolog,scale,administr,custom,united_st,bay,drug,anticip,regulatori,convent,sylvia,princ,label,locat,major,island,common,stotish,secur,son,consum,edward,intrexon,rollo,import,construct,corpor,net,samuel,select,prepar,public_off,albani,pioneer,atlantic_salmon,widen,expens,farmed_salmon,hope,next,safe,commenc,ohio,nasdaq,addit,launch,attribut,fulli,later,may,third,demonstr,identifi,first_harvest,distributor,mileston,larg,farmed_salmon_produc,bell,bring,alert,safeti,human,sampl,end,renov,activ,late,sold,april,underwrit,allow
 ,0.071,0.031,0.028,0.021,0.021,0.02,0.019,0.018,0.018,0.015,0.015,0.013,0.013,0.012,0.011,0.011,0.011,0.011,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002
topic4,land,project,ra,based_salmon_farm,facil,based_salmon,technolog,recirculating_aquaculture_system,financ,invest,based_aquacultur,partner,qualiti,supplier,metric_ton,build,nutreco,aquamaof,equip,firm,design,construct,aquacon,nordic_aqua_partn,lighthous,based_salmon_product,sweden,announc,coast,park,swedish,involv,west,equiti,scale,hoia,investor,atlantic_salmon,aqua,water,convent,recircul,netpen,potenti,built,akva,success,denmark,aquaculture_system,stage,billund,engin,earli,maryland,growout,halseth,requir,full,phase,freshwat,ventur,ningbo,solut,municip,kick,latest,team,sotena,atlantic_salmon_farm,based_salmon_produc,premium,eventu,partnership,choic,ground,tangen,bregal,danish,muri,slew,israel,henrik,ole,chosen,private_plac,locat,vinci,special,chose,nap,roy,isra,singapor,based_salmon_per_year,cto,support,nofitech,kreft,feasibl,boom
 ,0.223,0.088,0.06,0.049,0.03,0.023,0.023,0.02,0.017,0.016,0.014,0.011,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic5,ship,vessel,transport,nordlak,air,wellboat,contain,cargo,boat,capac,logist,deliv,servic,meter,freight,flight,cruis,port,united_st,rout,passeng,rate,fli,line,deliveri,start,arriv,situat,destin,plane,order,airlin,delay,airport,coast,fleet,handl,havfarm,built,hour,shipyard,west,live,design,summer,huge,carrier,greater,massiv,cubic,hiddenfjord,airfreight,load,carri,travel,us_market,aircraft,wide,avail,space,via,possibl,flown,send,sail,martinussen,complic,schedul,crew,trip,sever,spring,shipment,lar,combin,latam,boom,gregersen,normal,angel,asia,dri,alsak,dess,allow,rethink,anchor,special,eight,charter,aboard,yard,onboard,roll,length,dock,increasingli,network,hansen,outsid
