topic0,scotland,scottish,site,organ,loch,scottish_sea_farm,uk,scottish_salmon,local,scottish_salmon_farm,skye,marin,duart,isl,seal,director,freshwat,health,decis,locat,third,shetland,fish_farm,mark,forc,commun,sea,orkney,rural,permiss,seawat,osh,ensur,highland,effect,newli,united_kingdom,offici,meet,employ,council,deni,success,island,job,co,staff,previous,northeast,first_harvest,farmer,ross,bring,gill,alongsid,found,throughout,rear,roug,edinburgh,bracken,appeal,gael,within,macinn,wester,startup,hope,sspo,refus,incorpor,argyl,assist,intend,ewe,hadfield,satisfi,visscher,mill,brouwer,sutherland,wider,mainland,across,shutter,first_tim,dedic,train,fyne,shoot,hous,herald,scottish_salmon_produc,salmon_compani,gallagh,consent,balmaqueen,grown,dingwal,support
 ,0.113,0.052,0.051,0.032,0.026,0.022,0.021,0.017,0.014,0.013,0.013,0.013,0.013,0.011,0.01,0.01,0.009,0.009,0.009,0.009,0.009,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic1,bakkafrost,ssc,share,sharehold,scottish_salmon_compani,faroes,jacobsen,offer,faroe_island,minor,link,northern,remain,salmon_produc,regin,announc,full,six,anderson,faro,previous,sever,next,sell,smyth,want,craig,accept,dec,repres,rest,vap,mandatori,salmon_gi,given,complet,premium,period,octob,final,paid,nov,johansen,havsbrun,bid,septemb,term,salmon_market,jakobsen,frode,acquisit,perform,equal,critic,common,significantli,financi,lopatynskyy,roughli,hebridean,scottish,account,west,agre,possibl,sold,squeez,entir,delist,total,eliasen,value_chain,subsequ,island,sept,peer,teigen,yield,resist,properti,myhrstad,suduroy,eastern,highest,havsbrún,heavili,discount,hold,edward,applecross,fulli,along,odd,call,home,nativ,meret,sopica,tuesday,lopatinski
 ,0.135,0.056,0.043,0.037,0.036,0.031,0.029,0.027,0.022,0.022,0.021,0.021,0.016,0.016,0.012,0.011,0.01,0.01,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic2,lot,think,much,happen,realli,know,good,thing,peopl,money,want,actual,done,big,quit,mean,someth,interest,sure,seem,everyon,cours,look,littl,might,point,last,great,enough,pretti,bad,fact,hard,question,yet,real,reason,anyth,cannot,everyth,surpris,noth,case,got,far,side,feel,chang,play,exampl,believ,perhap,mayb,certainli,probabl,futur,complex,stay,thought,lack,sit,expert,plenti,lose,simpli,care,past,bit,doubt,exactli,understand,answer,worri,nice,game,stop,ye,without,kind,els,attent,bottom,bet,ask,wrong,inde,agre,need,clearli,becom,either,basic,gone,chanc,ultim,often,onto,happi,small,right
 ,0.038,0.033,0.026,0.024,0.023,0.02,0.02,0.019,0.018,0.015,0.014,0.013,0.013,0.012,0.012,0.012,0.011,0.011,0.011,0.01,0.01,0.01,0.009,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic3,feed,skret,cargil,soy,supplier,sourc,deforest,sustain,nutreco,free,alreadi,feed_giant,supply_chain,ewo,bremn,commit,farmer,cargill_aqua_nutrit,aquaculture_fe,global,brazilian,salmon_fe,fish_fe,raw_materi,set,bergjord,brazil,nutrit,cut,suppli,move,giant,innov,convers,manufactur,log,date,target,reduc,seashor,salmofood,ingredi,wathn,significantli,partnership,risk,cruz,protein,biomar,presid,meet,pressur,use,land,anim,push,commod,grown,parent_compani,soybean,value_chain,aqua,concentr,consid,entir,theres,formul,discuss,limit,ziv,place,aquafe,encourag,specif,douki,custom,robb,influenc,white,contract,win,halseth,selecta,einar,diet,done,novemb,pilar,need,enough,ratio,veget,spc,amazon,decad,partner,aquaculture_feed_gi,burk,cannot,mill
 ,0.154,0.044,0.04,0.026,0.022,0.015,0.014,0.014,0.013,0.013,0.01,0.01,0.01,0.009,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic4,season,catch,sockey,fishermen,bristol_bay,alaska,fisheri,pound,run,copper_riv,forecast,pink,total,last_year,record,juli,averag,area,region,open,district,river,sockeye_salmon,salmon_harvest,king,project,commerci,wild_salmon,associ,return,earli,game,caught,processor,chum,predict,seattl,adfg,state,summer,set,declin,recent,ex,condit,pay,bbrsda,lower,note,news,department_of_fish,roe,speci,fisherman,wild,lowest,far,major,poor,data,remain,slow,bay,wink,vessel,wild_salmon_season,greater,arriv,sound,recent_year,late,salmon_season,exceed,william,concern,issu,paid,nushagak,princ,qfc,fetch,start,southeast,adf,worldwid,mostli,nearli,cent,low,peak,overal,buyer,alaska_salmon,valuabl,crew,count,estim,dismal,cordova,biologist
 ,0.05,0.028,0.028,0.027,0.026,0.026,0.024,0.023,0.021,0.018,0.015,0.014,0.014,0.013,0.012,0.011,0.011,0.011,0.011,0.01,0.01,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic5,aquabounti,gm,commerci,fda,genet,approv,facil,modifi,aquadvantag,indiana,rais,loss,stock,food,site,purchas,salmon_produc,grow,wulf,engin,administr,sell,receiv,scale,united_st,announc,egg,use,begin,complet,canada,drug,bay,common,convent,regulatori,technolog,label,anticip,corpor,addit,import,consum,stotish,secur,locat,sylvia,intrexon,rollo,launch,net,major,custom,construct,son,larg,princ,edward,island,hope,offer,next,select,samuel,albani,widen,safe,prepar,expens,sold,nasdaq,commenc,first_harvest,experienc,mileston,identifi,allow,human,sampl,public_off,pioneer,third,bell,alert,safeti,farmed_salmon,requir,ron,renov,atlantic_salmon,batch,attribut,ronald,farmed_salmon_produc,diamond,underwrit,demonstr,panama,research,readi
