day,month,year,log_ret,react_label,date,common
4,1,2016,0.0,Up,2016-01-04,0
5,1,2016,-0.01383801,Down,2016-01-05,0
6,1,2016,0.026477263,Up,2016-01-06,0
7,1,2016,-0.019801235,Down,2016-01-07,0
8,1,2016,-0.000171184,Down,2016-01-08,0
11,1,2016,0.013925688,Up,2016-01-11,0
12,1,2016,0.019858218,Up,2016-01-12,0
13,1,2016,0.024653348,Up,2016-01-13,1
14,1,2016,-0.032606451,Down,2016-01-14,0
15,1,2016,0.004484492,Up,2016-01-15,0
18,1,2016,-0.028254804,Down,2016-01-18,1
19,1,2016,0.047631985,Up,2016-01-19,1
20,1,2016,-0.032062895,Down,2016-01-20,1
21,1,2016,0.014164477,Up,2016-01-21,1
22,1,2016,0.023239218,Up,2016-01-22,1
25,1,2016,0.018760489,Up,2016-01-25,0
26,1,2016,-0.01665798,Down,2016-01-26,0
27,1,2016,-0.001128084,Down,2016-01-27,0
28,1,2016,0.004994605,Up,2016-01-28,1
29,1,2016,0.026502227,Up,2016-01-29,1
1,2,2016,-0.000314087,Down,2016-02-01,1
2,2,2016,-0.003767213,Down,2016-02-02,1
3,2,2016,0.004073761,Up,2016-02-03,1
4,2,2016,-0.019288999,Down,2016-02-04,1
5,2,2016,0.009371157,Up,2016-02-05,0
8,2,2016,-0.046293838,Down,2016-02-08,0
9,2,2016,-0.000824247,Down,2016-02-09,0
10,2,2016,0.029730524,Up,2016-02-10,0
11,2,2016,-0.024931276,Down,2016-02-11,0
12,2,2016,0.009361785,Up,2016-02-12,0
15,2,2016,0.031376906,Up,2016-02-15,1
16,2,2016,-0.011795122,Down,2016-02-16,1
17,2,2016,0.024704802,Up,2016-02-17,0
18,2,2016,0.017980021,Up,2016-02-18,0
19,2,2016,0.013584451,Up,2016-02-19,0
22,2,2016,0.01638771,Up,2016-02-22,0
23,2,2016,-0.007631703,Down,2016-02-23,1
24,2,2016,0.027252254,Up,2016-02-24,0
25,2,2016,0.024261221,Up,2016-02-25,1
26,2,2016,-0.013931202,Down,2016-02-26,0
29,2,2016,-0.005660566,Down,2016-02-29,1
1,3,2016,0.014589134,Up,2016-03-01,1
2,3,2016,-0.032945172,Down,2016-03-02,1
3,3,2016,-0.006096229,Down,2016-03-03,1
4,3,2016,0.029967321,Up,2016-03-04,1
7,3,2016,-0.015455475,Down,2016-03-07,1
8,3,2016,-0.006333424,Down,2016-03-08,1
9,3,2016,0.027415258,Up,2016-03-09,1
10,3,2016,0.006888233,Up,2016-03-10,1
11,3,2016,0.013629393,Up,2016-03-11,1
14,3,2016,0.013027583,Up,2016-03-14,1
15,3,2016,0.00568594,Up,2016-03-15,1
16,3,2016,0.002213493,Up,2016-03-16,1
17,3,2016,0.001237592,Up,2016-03-17,1
18,3,2016,-0.000821907,Down,2016-03-18,1
21,3,2016,0.002068489,Up,2016-03-21,1
22,3,2016,0.010822463,Up,2016-03-22,1
23,3,2016,0.021158946,Up,2016-03-23,0
29,3,2016,-0.005346026,Down,2016-03-29,1
30,3,2016,0.008008847,Up,2016-03-30,1
31,3,2016,-0.025185673,Down,2016-03-31,1
1,4,2016,-0.004923,Down,2016-04-01,1
4,4,2016,0.008598343,Up,2016-04-04,1
5,4,2016,0.00217995,Up,2016-04-05,0
6,4,2016,0.016808656,Up,2016-04-06,0
7,4,2016,-0.012483309,Down,2016-04-07,0
8,4,2016,0.00121928,Up,2016-04-08,0
11,4,2016,-0.017543605,Down,2016-04-11,1
12,4,2016,0.007241548,Up,2016-04-12,0
13,4,2016,-0.002312407,Down,2016-04-13,0
14,4,2016,0.000271947,Up,2016-04-14,0
15,4,2016,-0.014851625,Down,2016-04-15,0
18,4,2016,0.000694999,Up,2016-04-18,0
19,4,2016,-0.00402097,Down,2016-04-19,0
20,4,2016,-0.01428195,Down,2016-04-20,1
21,4,2016,-0.053003286,Down,2016-04-21,0
22,4,2016,0.00917625,Up,2016-04-22,0
25,4,2016,-0.005464596,Down,2016-04-25,1
26,4,2016,0.012073817,Up,2016-04-26,0
27,4,2016,0.015258057,Up,2016-04-27,0
28,4,2016,-0.003465894,Down,2016-04-28,0
29,4,2016,-0.002752757,Down,2016-04-29,0
2,5,2016,0.004921481,Up,2016-05-02,1
3,5,2016,-0.005790558,Down,2016-05-03,0
4,5,2016,0.022109188,Up,2016-05-04,0
6,5,2016,0.013121554,Up,2016-05-06,1
9,5,2016,0.022315971,Up,2016-05-09,0
10,5,2016,-0.001653647,Down,2016-05-10,0
11,5,2016,0.021737742,Up,2016-05-11,0
12,5,2016,0.006696647,Up,2016-05-12,0
13,5,2016,0.015100671,Up,2016-05-13,0
18,5,2016,-0.016696597,Down,2016-05-18,1
19,5,2016,-0.007920484,Down,2016-05-19,1
20,5,2016,0.027505002,Up,2016-05-20,1
23,5,2016,0.001837506,Up,2016-05-23,0
24,5,2016,0.013258641,Up,2016-05-24,0
25,5,2016,-0.001679148,Down,2016-05-25,0
26,5,2016,0.026046789,Up,2016-05-26,0
27,5,2016,-0.006959261,Down,2016-05-27,0
30,5,2016,0.020477642,Up,2016-05-30,0
31,5,2016,0.001492873,Up,2016-05-31,1
1,6,2016,0.009880501,Up,2016-06-01,1
2,6,2016,0.005885358,Up,2016-06-02,1
3,6,2016,-0.012911769,Down,2016-06-03,1
6,6,2016,0.007459516,Up,2016-06-06,1
7,6,2016,-0.003998417,Down,2016-06-07,1
8,6,2016,0.012987349,Up,2016-06-08,1
9,6,2016,-0.010464544,Down,2016-06-09,1
10,6,2016,-0.008775383,Down,2016-06-10,1
13,6,2016,-0.013810091,Down,2016-06-13,0
14,6,2016,-0.021497442,Down,2016-06-14,1
15,6,2016,0.023951368,Up,2016-06-15,1
16,6,2016,-0.040344011,Down,2016-06-16,0
17,6,2016,0.010605183,Up,2016-06-17,1
20,6,2016,0.029300599,Up,2016-06-20,1
21,6,2016,0.023634026,Up,2016-06-21,0
22,6,2016,-0.013756449,Down,2016-06-22,0
23,6,2016,0.003548938,Up,2016-06-23,0
24,6,2016,-0.010797132,Down,2016-06-24,0
27,6,2016,-0.038752214,Down,2016-06-27,1
28,6,2016,0.046123774,Up,2016-06-28,1
29,6,2016,0.018115768,Up,2016-06-29,1
30,6,2016,-0.030252392,Down,2016-06-30,1
1,7,2016,0.028661062,Up,2016-07-01,1
4,7,2016,-0.019290949,Down,2016-07-04,0
5,7,2016,-0.015098532,Down,2016-07-05,1
6,7,2016,0.017629439,Up,2016-07-06,0
7,7,2016,0.015790499,Up,2016-07-07,1
8,7,2016,0.024051337,Up,2016-07-08,0
11,7,2016,0.017569161,Up,2016-07-11,1
12,7,2016,-0.01217738,Down,2016-07-12,1
13,7,2016,0.011308594,Up,2016-07-13,1
14,7,2016,0.019209257,Up,2016-07-14,0
15,7,2016,-0.034181844,Down,2016-07-15,1
18,7,2016,-0.011875531,Down,2016-07-18,0
19,7,2016,0.00386877,Up,2016-07-19,0
20,7,2016,0.004498755,Up,2016-07-20,0
21,7,2016,-0.002758008,Down,2016-07-21,0
22,7,2016,-0.003658961,Down,2016-07-22,1
25,7,2016,-0.012293554,Down,2016-07-25,0
26,7,2016,0.00344698,Up,2016-07-26,0
27,7,2016,0.004120834,Up,2016-07-27,1
28,7,2016,0.002794161,Up,2016-07-28,1
29,7,2016,0.003195315,Up,2016-07-29,0
1,8,2016,-0.01035664,Down,2016-08-01,0
2,8,2016,0.006966787,Up,2016-08-02,0
3,8,2016,-0.003323709,Down,2016-08-03,1
