day,month,year,log_ret,react_label,equally_weighted_index,equally_weighted_volume,date,common
4,1,2016,0.0,Up,117.80613100000002,423161.3004430634,2016-01-04,0
5,1,2016,-0.013838010269308147,Down,116.18715608000001,556681.3085219141,2016-01-05,0
6,1,2016,0.026477262670271104,Up,119.304562,463869.7091769992,2016-01-06,0
7,1,2016,-0.019801234941339514,Down,116.96541972000001,605717.1380355852,2016-01-07,0
8,1,2016,-0.00017118421606638525,Down,116.9453988,572520.243640448,2016-01-08,0
11,1,2016,0.013925687813673848,Up,118.58533604,688203.7565413422,2016-01-11,0
12,1,2016,0.019858218042649527,Up,120.96376704,752046.7789251559,2016-01-12,0
13,1,2016,0.024653348169429483,Up,123.982993,955224.5636892191,2016-01-13,1
14,1,2016,-0.03260645092515171,Down,120.00554524,850090.8787431654,2016-01-14,0
15,1,2016,0.004484491922985991,Up,120.54491764,759009.187525752,2016-01-15,0
18,1,2016,-0.028254804069337253,Down,117.18661216000001,438230.36998460384,2016-01-18,1
19,1,2016,0.04763198488630523,Up,122.90351600000002,597259.9238403371,2016-01-19,1
20,1,2016,-0.03206289491691492,Down,119.02537788000001,683055.7487660092,2016-01-20,1
21,1,2016,0.014164476526467072,Up,120.72330680000002,933486.5696050068,2016-01-21,1
22,1,2016,0.023239218052045093,Up,123.56167504,837397.8899344713,2016-01-22,1
25,1,2016,0.018760488717056097,Up,125.90163320000002,558932.1494018745,2016-01-25,0
26,1,2016,-0.016657980284368722,Down,123.82173780000001,620837.2360869469,2016-01-26,0
27,1,2016,-0.0011280836381852089,Down,123.68213528000001,640264.7958708811,2016-01-27,0
28,1,2016,0.004994605361740831,Up,124.301424,718235.571844149,2016-01-28,1
29,1,2016,0.026502227403979905,Up,127.63972948,631344.037490415,2016-01-29,1
1,2,2016,-0.0003140869647210136,Down,127.59964580000002,556473.5070800056,2016-02-01,1
2,2,2016,-0.0037672134714578,Down,127.119855,435811.0905447098,2016-02-02,1
3,2,2016,0.004073761062414773,Up,127.63876715999999,754088.2037134845,2016-02-03,1
4,2,2016,-0.01928899898930602,Down,125.20033616,770140.5279710579,2016-02-04,1
5,2,2016,0.009371156703128656,Up,126.37912279999999,526484.649817309,2016-02-05,0
8,2,2016,-0.0462938379704527,Down,120.66190515999999,790187.6832158437,2016-02-08,0
9,2,2016,-0.0008242470267841214,Down,120.56249092,693025.4605793661,2016-02-09,0
10,2,2016,0.029730524179864,Up,124.20069180000002,586267.7689519238,2016-02-10,0
11,2,2016,-0.02493127586619245,Down,121.14249092,622530.8977426387,2016-02-11,0
12,2,2016,0.009361784622851338,Up,122.28192608,605732.668137672,2016-02-12,0
15,2,2016,0.0313769061627145,Up,126.17958304000001,545591.7566298348,2016-02-15,1
16,2,2016,-0.01179512245522855,Down,124.70002236000002,639185.7370097123,2016-02-16,1
17,2,2016,0.02470480208887335,Up,127.81908096000001,1404778.3506323614,2016-02-17,0
18,2,2016,0.01798002118864168,Up,130.13805588,1600526.3144461107,2016-02-18,0
19,2,2016,0.013584451422132326,Up,131.9179722,1268294.8484590882,2016-02-19,0
22,2,2016,0.016387709831923836,Up,134.09761656,861647.7173339312,2016-02-22,0
23,2,2016,-0.007631702537958875,Down,133.07811863999999,1026455.268524877,2016-02-23,1
24,2,2016,0.027252253530584077,Up,136.75466684000003,1231129.032771479,2016-02-24,0
25,2,2016,0.02426122136661934,Up,140.11307692000003,942319.6052723147,2016-02-25,1
26,2,2016,-0.01393120231600224,Down,138.17466684000001,2062939.684918825,2016-02-26,0
29,2,2016,-0.005660565597176753,Down,137.3947296,604370.2957549596,2016-02-29,1
1,3,2016,0.014589133792625017,Up,139.4138928,873943.3203675045,2016-03-01,1
2,3,2016,-0.03294517233956502,Down,134.89571284000002,2175909.231602656,2016-03-02,1
3,3,2016,-0.006096228628350144,Down,134.07585928000003,1156690.3319231917,2016-03-03,1
4,3,2016,0.0299673208401794,Up,138.15456224000002,1111410.4127425288,2016-03-04,1
7,3,2016,-0.01545547517977165,Down,136.03573376000003,746863.308896706,2016-03-07,1
8,3,2016,-0.006333424136513094,Down,135.17688436,809921.3105708573,2016-03-08,1
9,3,2016,0.02741525791272941,Up,138.93406016,976138.9067044129,2016-03-09,1
10,3,2016,0.006888232902708074,Up,139.89437396,1335269.0595631031,2016-03-10,1
11,3,2016,0.013629392944690436,Up,141.814102,1220943.123455134,2016-03-11,1
14,3,2016,0.01302758292357052,Up,143.6736836,1466789.6828931062,2016-03-14,1
15,3,2016,0.005685940335568188,Up,144.49293048,936833.6026019217,2016-03-15,1
16,3,2016,0.0022134926772023446,Up,144.81311876,896984.4067578688,2016-03-16,1
17,3,2016,0.0012375923904923527,Up,144.99244932000002,999222.3600638269,2016-03-17,1
18,3,2016,-0.0008219070759140514,Down,144.87332795999998,6848008.788314577,2016-03-18,1
21,3,2016,0.0020684893445413865,Up,145.17330704000003,505078.1104943771,2016-03-21,1
22,3,2016,0.010822463134991689,Up,146.75297232000003,510000.60949473147,2016-03-22,1
23,3,2016,0.02115894553983398,Up,149.89119412000002,450389.9218806872,2016-03-23,0
29,3,2016,-0.00534602621402289,Down,149.09201000000002,847339.5624455181,2016-03-29,1
30,3,2016,0.008008847068697233,Up,150.29085940000002,889557.2552642064,2016-03-30,1
31,3,2016,-0.02518567305190168,Down,146.55295139999998,889660.6723644932,2016-03-31,1
1,4,2016,-0.004922999677803561,Down,145.83324428,902978.4985775121,2016-04-01,1
4,4,2016,0.008598342900990284,Up,147.09257484,570224.0683386823,2016-04-04,1
5,4,2016,0.0021799496067363465,Up,147.413579,712832.7866180025,2016-04-05,0
6,4,2016,0.016808655767412993,Up,149.91234472000002,1424624.305539194,2016-04-06,0
7,4,2016,-0.012483308664721403,Down,148.05257484,1238052.9987142554,2016-04-07,0
8,4,2016,0.0012192797375266769,Up,148.23320244,881255.8453646515,2016-04-08,0
11,4,2016,-0.01754360539848954,Down,145.65533628,921417.8827345405,2016-04-11,1
12,4,2016,0.007241547531589796,Up,146.71393464,844909.8796288918,2016-04-12,0
13,4,2016,-0.0023124066219047694,Down,146.37506432,988796.8108077048,2016-04-13,0
14,4,2016,0.00027194732302892336,Up,146.41487604,941012.6480999124,2016-04-14,0
15,4,2016,-0.014851624616630884,Down,144.25644504000002,534139.6415838968,2016-04-15,0
18,4,2016,0.0006949986345624223,Up,144.35673792,742305.3805180219,2016-04-18,0
19,4,2016,-0.004020970272876707,Down,143.77744920000004,576238.8192461313,2016-04-19,0
20,4,2016,-0.014281950127270212,Down,141.73862072,857418.3646866622,2016-04-20,1
21,4,2016,-0.053003285832206905,Down,134.4216332,1143753.3377452816,2016-04-21,0
22,4,2016,0.009176249613760595,Up,135.6607964,952827.123061122,2016-04-22,0
25,4,2016,-0.005464596359566331,Down,134.92148676,429806.86464682064,2016-04-25,1
26,4,2016,0.012073816796528601,Up,136.56037800000001,702749.9796811466,2016-04-26,0
27,4,2016,0.01525805740304516,Up,138.66000144000003,527425.291396801,2016-04-27,0
28,4,2016,-0.003465893658542876,Down,138.18025248,572545.9802529446,2016-04-28,0
29,4,2016,-0.0027527567453740163,Down,137.80039892000002,626692.5205925398,2016-04-29,0
2,5,2016,0.004921480594319891,Up,138.48025248000002,531308.0680187476,2016-05-02,1
3,5,2016,-0.005790557504256698,Down,137.68069180000003,607060.0394300439,2016-05-03,0
4,5,2016,0.022109188390056246,Up,140.75859979999998,746292.9477285241,2016-05-04,0
6,5,2016,0.013121553778516787,Up,142.61774208000003,643342.2854205498,2016-05-06,1
9,5,2016,0.022315970734364837,Up,145.83617308,710554.9731306948,2016-05-09,0
10,5,2016,-0.0016536473988166143,Down,145.59521076000001,783012.9435225247,2016-05-10,0
11,5,2016,0.021737741519861988,Up,148.79477144,1077014.5066439498,2016-05-11,0
12,5,2016,0.006696647023203629,Up,149.79454132,1265491.9142214758,2016-05-12,0
13,5,2016,0.015100670846257722,Up,152.07370452000004,1022576.9622120738,2016-05-13,0
18,5,2016,-0.01669659669410346,Down,149.55567100000002,5281874.323338613,2016-05-18,1
19,5,2016,-0.007920483579717337,Down,148.37579652,6958125.218331575,2016-05-19,1
20,5,2016,0.027505001996702222,Up,152.51351624,1360932.4933208136,2016-05-20,1
23,5,2016,0.0018375056438015443,Up,152.79401832000002,712240.3848313336,2016-05-23,0
24,5,2016,0.013258641149087678,Up,154.83334888000002,1193814.0306412508,2016-05-24,0
25,5,2016,-0.0016791475408505939,Down,154.573579,908753.166017254,2016-05-25,0
26,5,2016,0.026046788852393622,Up,158.65261668000002,850477.0363608334,2016-05-26,0
27,5,2016,-0.006959260827277524,Down,157.55234472,781195.2187552181,2016-05-27,0
30,5,2016,0.020477642082275295,Up,160.81190540000003,728072.4598465995,2016-05-30,0
31,5,2016,0.001492873005122515,Up,161.05215644,4912572.897434317,2016-05-31,1
1,6,2016,0.009880500692234966,Up,162.65131964,970064.021527718,2016-06-01,1
2,6,2016,0.00588535792581302,Up,163.61140332000002,849242.9449504182,2016-06-02,1
3,6,2016,-0.01291176939439442,Down,161.51247024000003,12803804.714866152,2016-06-03,1
6,6,2016,0.0074595157492079655,Up,162.72177988,924426.564385147,2016-06-06,1
7,6,2016,-0.003998417254445645,Down,162.07244932,1382986.1960426606,2016-06-07,1
8,6,2016,0.012987348831397022,Up,164.19106860000002,963253.0143526129,2016-06-08,1
9,6,2016,-0.01046454418961522,Down,162.48184264000002,1074934.5401770254,2016-06-09,1
10,6,2016,-0.008775383050517832,Down,161.06224012,815317.7539650474,2016-06-10,1
13,6,2016,-0.013810090824972043,Down,158.85324428,1214819.6530202595,2016-06-13,0
14,6,2016,-0.021497441693495673,Down,155.47475052000001,1092385.5494106836,2016-06-14,1
15,6,2016,0.02395136828833367,Up,159.24353716000002,1243912.9867737654,2016-06-15,1
16,6,2016,-0.040344010573692336,Down,152.94688435999998,1480907.7677346503,2016-06-16,0
17,6,2016,0.010605182841428123,Up,154.57754548000003,1944082.5959169294,2016-06-17,1
20,6,2016,0.029300598527106526,Up,159.17376728000002,879121.5277656429,2016-06-20,1
21,6,2016,0.02363402606796402,Up,162.98049116,1614561.623920621,2016-06-21,0
22,6,2016,-0.013756448746501579,Down,160.75380912,1004385.4995833642,2016-06-22,0
23,6,2016,0.0035489379724258654,Up,161.32532796,665393.6447684278,2016-06-23,0
24,6,2016,-0.010797132272350116,Down,159.59284680000002,1308583.7407492236,2016-06-24,0
27,6,2016,-0.03875221430415838,Down,153.52657056000004,1080661.4260464446,2016-06-27,1
28,6,2016,0.04612377374737542,Up,160.77364176,1141362.0625121878,2016-06-28,1
29,6,2016,0.018115768386760014,Up,163.71272127999998,1147676.467518224,2016-06-29,1
30,6,2016,-0.03025239158473093,Down,158.83418568000002,2550568.399533512,2016-06-30,1
1,7,2016,0.028661061506736515,Up,163.45240748000003,1198435.5492713377,2016-07-01,1
4,7,2016,-0.019290949257653133,Down,160.3294744,792800.7598644182,2016-07-04,0
5,7,2016,-0.015098532000030153,Down,157.92691788000002,723154.0462199461,2016-07-05,1
6,7,2016,0.017629438769940057,Up,160.73576728,851734.5044432477,2016-07-06,0
7,7,2016,0.0157904986217101,Up,163.29401000000001,715402.8408567362,2016-07-07,1
8,7,2016,0.02405133697687465,Up,167.26906028000002,704891.2367776694,2016-07-08,0
11,7,2016,0.01756916083323041,Up,170.23380508,784910.0631336379,2016-07-11,1
12,7,2016,-0.01217738031791032,Down,168.17337408,567370.496377611,2016-07-12,1
13,7,2016,0.011308593611620012,Up,170.08597244,564472.9531734195,2016-07-13,1
14,7,2016,0.01920925710880699,Up,173.38477999999998,850940.158480971,2016-07-14,0
15,7,2016,-0.03418184376734381,Down,167.55831547999998,931895.7501566638,2016-07-15,1
18,7,2016,-0.01187553090888729,Down,165.58024012000004,771731.373408185,2016-07-18,0
19,7,2016,0.0038687701419255053,Up,166.22207276,579449.2283692742,2016-07-19,0
20,7,2016,0.004498755158480887,Up,166.97154976000002,573171.0759486422,2016-07-20,0
21,7,2016,-0.0027580084212748966,Down,166.51167528000002,888355.3694063991,2016-07-21,0
22,7,2016,-0.0036589609076291348,Down,165.90352884,428052.9449628313,2016-07-22,1
25,7,2016,-0.012293554096387235,Down,163.87647024,425307.543732344,2016-07-25,0
26,7,2016,0.0034469797681134055,Up,164.4423238,491975.0001909998,2016-07-26,0
27,7,2016,0.00412083412851282,Up,165.12136148000002,506901.12920274603,2016-07-27,1
28,7,2016,0.0027941614334007878,Up,165.5833824,543081.2796953614,2016-07-28,1
29,7,2016,0.0031953148019294567,Up,166.11331964,612885.3696350382,2016-07-29,0
1,8,2016,-0.010356640309238442,Down,164.40182172000002,381982.31779521384,2016-08-01,0
2,8,2016,0.0069667870663224895,Up,165.5511732,485046.33754307,2016-08-02,0
3,8,2016,-0.003323709295529927,Down,165.00184264,476042.393652961,2016-08-03,1
4,8,2016,0.0044580344065027235,Up,165.7390686,440409.2949589271,2016-08-04,1
5,8,2016,-0.003915015570102877,Down,165.09146608,366741.7165386995,2016-08-05,1
8,8,2016,-0.02747392737497688,Down,160.61749532,901938.2593729041,2016-08-08,1
9,8,2016,0.008267787437954484,Up,161.9509514,587223.4295625224,2016-08-09,1
10,8,2016,-0.014657824570968937,Down,159.5944158,637202.5366361215,2016-08-10,1
11,8,2016,0.013539473629323222,Up,161.76993464,632202.924622355,2016-08-11,1
12,8,2016,-0.010573846721573677,Down,160.0684158,478019.370386224,2016-08-12,1
15,8,2016,-0.06381231880564711,Down,150.17315632,1376621.4980173265,2016-08-15,0
16,8,2016,0.0016359343014967392,Up,150.4190308,1026168.661756197,2016-08-16,1
17,8,2016,-0.017307055922331897,Down,147.83811864,899673.4764972162,2016-08-17,1
18,8,2016,-0.01644552845173094,Down,145.42672532,1575453.9723715005,2016-08-18,1
19,8,2016,-0.0168299077894633,Down,142.99968764000002,1469263.7720391531,2016-08-19,1
22,8,2016,0.023357398694759432,Up,146.37910188,1178480.734638832,2016-08-22,1
23,8,2016,0.037041911736736335,Up,151.90293880000002,1272299.2071406692,2016-08-23,1
24,8,2016,-0.00620045924504055,Down,150.96398480000002,1013894.3475074929,2016-08-24,1
25,8,2016,-2.1369298595892534e-05,Down,150.96075883999998,692367.3428273974,2016-08-25,1
26,8,2016,-0.005408531056698376,Down,150.14648688,731453.9856401796,2016-08-26,0
29,8,2016,5.34192036923138e-05,Up,150.1545078,486283.52585964923,2016-08-29,0
30,8,2016,-0.0010475036221257413,Down,149.99730276000003,631182.7167585294,2016-08-30,0
31,8,2016,-0.0018681652290812977,Down,149.7173446,650986.853157603,2016-08-31,0
1,9,2016,0.006496128412396328,Up,150.69309356000002,796090.3495816624,2016-09-01,0
2,9,2016,0.007629051126836437,Up,151.8471354,814590.660330706,2016-09-02,1
5,9,2016,0.0058647577697253945,Up,152.74029860000002,508189.1417726943,2016-09-05,0
6,9,2016,-0.008819039594226826,Down,151.39919816,593294.2635008219,2016-09-06,1
7,9,2016,0.0040415222153944936,Up,152.01231952,842718.4409248075,2016-09-07,1
8,9,2016,-0.002728006827077551,Down,151.598194,890936.7173215185,2016-09-08,0
9,9,2016,-0.026012911115557622,Down,147.70553288,912897.9443229618,2016-09-09,0
12,9,2016,-0.009211392189967619,Down,146.35120648,942996.3354312611,2016-09-12,1
13,9,2016,-0.004109445762006581,Down,145.7510182,501771.7173167132,2016-09-13,1
14,9,2016,0.024848450222208916,Up,149.4180768,895473.3693535437,2016-09-14,1
15,9,2016,0.002284867284465502,Up,149.7598676,813405.1201861147,2016-09-15,1
16,9,2016,0.023509649703769637,Up,153.32238228,984251.7766956235,2016-09-16,1
19,9,2016,-0.006289047376318429,Down,152.36115632,622442.5720087212,2016-09-19,1
20,9,2016,0.044128244711763895,Up,159.23513968000003,894286.7124316035,2016-09-20,1
21,9,2016,-0.013594905638580308,Down,157.08500156000002,708300.6131229267,2016-09-21,1
22,9,2016,0.01862407002173089,Up,160.03797648,857053.1532282769,2016-09-22,1
23,9,2016,-0.0053227657992670095,Down,159.18839488,827600.8634767969,2016-09-23,1
26,9,2016,-0.01871923341118151,Down,156.23622752,840756.070730384,2016-09-26,1
27,9,2016,-0.014771560679697733,Down,153.94533628,865102.361460888,2016-09-27,1
28,9,2016,0.0209944225869499,Up,157.21149532,802358.671273352,2016-09-28,1
29,9,2016,0.003554557932909864,Up,157.77130704,1010837.743347942,2016-09-29,0
30,9,2016,0.044302971817964394,Up,164.91818996,1478428.3250119626,2016-09-30,1
3,10,2016,4.693467614078384e-06,Up,164.91896400000002,926149.5962560838,2016-10-03,0
4,10,2016,0.012299670947397597,Up,166.95993892,1092780.1274725362,2016-10-04,1
5,10,2016,-0.005425404453773755,Down,166.05656652,733457.6963583909,2016-10-05,1
6,10,2016,0.004924294308368557,Up,166.87629456000002,627564.4637006308,2016-10-06,1
7,10,2016,-0.009025667880138796,Down,165.37690124000002,749677.0492727392,2016-10-07,1
10,10,2016,0.01384384153239851,Up,167.68227364,800975.4212270034,2016-10-10,1
11,10,2016,0.007708919020448027,Up,168.979918,1042468.5213753587,2016-10-11,1
12,10,2016,-0.00731265129695361,Down,167.74873388000003,979935.510709402,2016-10-12,1
13,10,2016,0.0069154812259792885,Up,168.91281756,1036178.1561841686,2016-10-13,1
14,10,2016,0.014963643324132286,Up,171.45937408,886962.0935130146,2016-10-14,1
17,10,2016,-0.0002620233837091806,Down,171.4144536,1577618.627415877,2016-10-17,0
18,10,2016,0.014168128153603495,Up,173.8603616,979040.1100338954,2016-10-18,0
19,10,2016,0.005634832287603905,Up,174.84280092000003,748745.7189372084,2016-10-19,1
20,10,2016,0.004153904284389436,Up,175.57059172,866348.2969097677,2016-10-20,0
21,10,2016,0.0040121618463915265,Up,176.27642436,853360.2999905902,2016-10-21,1
