year,month,day,trading
2016,3,23,half
2016,3,24,closed
2016,3,25,closed
2016,3,27,closed
2016,3,28,closed
2016,5,1,closed
2016,5,5,closed
2016,5,15,closed
2016,5,16,closed
2016,5,17,closed
2016,12,25,closed
2016,12,26,closed
2017,1,1,closed
2017,4,12,half
2017,4,13,closed
2017,4,14,closed
2017,4,16,closed
2017,4,17,closed
2017,5,1,closed
2017,5,17,closed
2017,5,25,closed
2017,6,4,closed
2017,6,5,closed
2017,12,25,closed
2017,12,26,closed
2018,1,1,closed
2018,3,28,half
2018,3,29,closed
2018,3,30,closed
2018,4,1,closed
2018,4,2,closed
2018,5,1,closed
2018,5,10,closed
2018,5,17,closed
2018,5,20,closed
2018,5,21,closed
2018,12,24,closed
2018,12,25,closed
2018,12,26,closed
2018,12,31,closed
2019,1,1,closed
2019,4,17,half
2019,4,18,closed
2019,4,19,closed
2019,4,21,closed
2019,4,22,closed
2019,5,1,closed
2019,5,17,closed
2019,5,30,closed
2019,6,9,closed
2019,6,10,closed
2019,12,24,closed
2019,12,25,closed
2019,12,26,closed
2019,12,31,closed
2020,1,1,closed
2020,4,8,half
2020,4,9,closed
2020,4,10,closed
2020,4,12,closed
2020,4,13,closed
2020,5,1,closed
2020,5,17,closed
2020,5,21,closed
2020,5,31,closed
2020,6,1,closed
2020,12,24,closed
2020,12,25,closed
2020,12,26,closed
2020,12,31,closed
2021,1,1,closed
2021,4,1,closed
2021,4,2,closed
2021,4,4,closed
2021,4,5,closed
2021,5,1,closed
2021,5,13,closed
2021,5,17,closed
2021,5,23,closed
2021,5,24,closed
2021,12,24,closed
2021,12,25,closed
2021,12,26,closed
2021,12,31,closed
2022,1,1,closed
2022,4,13,half
2022,4,14,closed
2022,4,15,closed
2022,4,17,closed
2022,4,18,closed
2022,5,1,closed
2022,5,17,closed
2022,5,26,closed
2022,6,5,closed
2022,6,6,closed
